ENODEB_CELLNAME,ENODEB,DATA_DATE,MARKET_CLUSTER,VERSION,REGION,MARKET,DL_CH_BANDWIDTH,EARFCN_DL,DRBPDCPSDUKBYTESDL_NONGBR,DLPRBUSEDWITHDSPUC_FDUSERS,DLPRBUSEDWITHDSPUC_FSUSERS,EUCELL_DL_TPUT_NUM_KBITS,EUCELL_DL_TPUT_DEN_SECS,EUCELL_DL_DRB_TPUT_NUM_KBITS,EUCELL_DL_DRB_TPUT_DEN_SECS
COL01254_2B_1,COL01254,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,14523451,102700178,746015692,40157274.11,3014.048,75634384.9,3754.848
COL01193_2B_1,COL01193,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,579569888,9694857469,7815629376,3525413118,416591.57,3741887554,279774.336
COL01193_2C_1,COL01193,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,454224171,6926587218,6810675668,2304193192,263313.68,2810706338,171107.032
COL01193_2A_1,COL01193,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,195331325,1680320086,10470124488,1015240614,115157.554,1224455774,91307.296
COL03018_2A_1,COL03018,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,25962712,127700189,2749315796,129219043.3,8351.836,164371562.5,7273.923
COL03018_2B_1,COL03018,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,143249489,731739529,8318491668,723560693.8,56346.322,917541486.6,43603.01
COL03018_2C_1,COL03018,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,138056681,788043238,4465763325,583737671.7,41691.65,855571570.7,36539.603
COL00401_9T_1_DB,COL00401,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,1125,3217045,19685552,45929240,10434052.1,555.74,17444200.45,581.417
COL00401_9R_1_DB,COL00401,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,1125,8937803,44680355,140944273,38971056.13,1996.598,53626986.5,1898.647
COL00401_9S_1_DB,COL00401,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,1125,20579583,80484999,247696471,61409738.75,3108.223,102760382.5,2758.934
COL05201_7R_1_DB,COL05201,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,93461476,494074951,1234725841,327580491.8,26953.584,588986286.1,33406.948
COL05201_2S_1_DB,COL05201,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,174331373,554080168,1366402778,442874028,28219.79,802057199.6,15099.084
COL05201_2R_1_DB,COL05201,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,130628103,433220554,1372350941,444609839.1,26232.304,667739742.2,16754.774
COL05201_7T_1_DB,COL05201,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,58038849,308147682,811193978,151526236.2,12393.489,361135226.9,20860.391
COL05201_7S_1_DB,COL05201,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,57881664,282927893,737297684,175971172.4,17624.429,351248080.9,18477.817
COL05201_2T_1_DB,COL05201,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,122104243,392350564,1111648915,356989108.2,18242.11,601873317.9,12775.852
COL01178_9C_1,COL01178,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,1125,215961762,1499812908,8315956348,1223495033,116835.504,1450734354,91102.635
COL01178_9A_1,COL01178,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,1125,198843000,2157892147,9169692620,993052491.8,120302.069,1353693708,105078.351
COL01178_9B_1,COL01178,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,1125,393342008,6728965121,10037065218,2245164360,344032.872,2645162992,271821.235
COL01261_2C_1,COL01261,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,56253311,922777110,4361813278,308302905.3,46293.497,384716144.6,35058.442
COL01261_2B_1,COL01261,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,505966548,6984555908,8215577732,2834294276,334339.078,3076719575,202187.703
COL01261_2A_1,COL01261,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,597291553,18364575367,6729558783,3642467484,704582.613,3886591787,511141.239
COL06286_7A_1,COL06286,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n25-5MHz,5760,125090943,618408255,2433149571,636037734.4,132878.155,896690733.1,147781.658
COL06286_2A_1,COL06286,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,2250,98072111,262217416,2108453694,329290194.9,23855.731,525275127.8,23155.253
COL06286_7B_1,COL06286,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n25-5MHz,5760,94743635,622896225,2193667311,540671959,142354.679,695907442.7,160371.339
COL06286_7C_1,COL06286,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n25-5MHz,5760,37907194,179851755,768452635,191941869.6,31512.389,269659447.3,38953.219
COL06286_2B_1,COL06286,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,2250,18834117,51058521,2060185383,47986655.23,2992.527,89016524.8,3800.675
COL03096_2C_1,COL03096,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,23738931,107529780,2602123926,69387460.61,4492.786,126222377,5444.782
COL03096_2B_1,COL03096,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,72453674,281164438,2669762756,175124078.6,12231.218,342409142.3,12176.946
COL03096_2A_1,COL03096,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,1203254,8679070,444291761,3423567.872,308.984,5754380.288,254.161
COL05136_2A_1,COL05136,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,37289077,320510886,4245715267,160423305.2,15298.276,239011913.7,14015.893
COL05136_2B_1,COL05136,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,249104484,1245622744,9748178500,1369523388,123668.287,1641803022,93448.401
COL05136_2C_1,COL05136,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,178292703,698213085,9425808314,986588233.7,79065.899,1160469611,65059.894
COL04243_7B_1,COL04243,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n25-5MHz,5760,69141234,493280151,1407621012,356245970.9,80339.536,502946299.9,101407.717
COL04243_7C_1,COL04243,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n25-5MHz,5760,103611550,1106905160,2710222550,547351191.6,250769.338,772042604.5,334489.993
COL04243_7A_1,COL04243,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n25-5MHz,5760,379223869,4324279050,3049801635,2227000451,1536506.572,2749613220,1726014.986
