ENODEB_CELLNAME,ENODEB,DATA_DATE,MARKET_CLUSTER,VERSION,REGION,MARKET,DL_CH_BANDWIDTH,EARFCN_DL,DRBPDCPSDUKBYTESDL_NONGBR,DLPRBUSEDWITHDSPUC_FDUSERS,DLPRBUSEDWITHDSPUC_FSUSERS,EUCELL_DL_TPUT_NUM_KBITS,EUCELL_DL_TPUT_DEN_SECS,EUCELL_DL_DRB_TPUT_NUM_KBITS,EUCELL_DL_DRB_TPUT_DEN_SECS
JKT00168_2C_1,JKT00168,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,2000,22328719,1375368418,7046361977,1233920483,292020.095,1488394034,288915.305
JKT00537_9A_1,JKT00537,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,190,11680654,29718251,671509923,43825815.55,2511.340,60283518.98,2626.946
JKT00537_9B_1,JKT00537,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,190,201365022,663308776,6240068520,508455043.1,43269.045,956809837,53545.674
JKT00213_3B_1,JKT00213,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,9820,18848953,45299016,64021209,88114092.96,4434.840,97898323.97,2987.369
JKT00213_3A_1,JKT00213,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,9820,38440468,134701961,897764666,140111929.3,7696.262,29940327,6594.668
JKT00213_3C_1,JKT00213,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,9820,40379842,136797907,3020164962,191971500,12890.186,258355626,11642.906
JKT00632_9B_1,JKT00632,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n75-15MHz,1125,98770666,49122987,1884163463,507181596.7,30302.71,609788223.5,19409.385
JKT00428_9C_1,JKT00428,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,190,90294912,334748757,2026940617,407017030.7,24420.27,518992961.5,24040.741
JKT00428_9A_1,JKT00428,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,190,35191274,225659992,1230192007,117081882.6,9187.92,199229169.7,11977.368
JKT00428_9B_1,JKT00428,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,190,28345082,13692247,848417516,56892407.7,4485.17,133261140,6467.281
JKT00615_9C_1,JKT00615,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,190,80279520,684958994,2251840480,347794407.4,50905.016,502861201.4,48975.091
JKT00615_9A_1,JKT00615,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,190,320094800,1487467095,9484405893,1874772419,241614.367,2064586875,190517.849
JKT00615_9B_1,JKT00615,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,190,185732083,926913622,3851427417,722575097.9,75460.155,969951132,69440.786
JKT00898_9B_1,JKT00898,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,190,64093341,135370547,1491379116,220605530.1,15196.387,338178998.3,15201.764
