ENODEB_CELLNAME,ENODEB,DATA_DATE,MARKET_CLUSTER,VERSION,REGION,MARKET,DL_CH_BANDWIDTH,EARFCN_DL,DRBPDCPSDUKBYTESDL_NONGBR,DLPRBUSEDWITHDSPUC_FDUSERS,DLPRBUSEDWITHDSPUC_FSUSERS,EUCELL_DL_TPUT_NUM_KBITS,EUCELL_DL_TPUT_DEN_SECS,EUCELL_DL_DRB_TPUT_NUM_KBITS,EUCELL_DL_DRB_TPUT_DEN_SECS
ORL09124_2C_1,ORL09124R,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,2000,110513461,618085534,2016251515,611900547.1,61142.801,763011997.7,53678.229
ORL09124_2B_1,ORL09124R,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,2000,134451790,1048947515,3315673328,731416862.7,109115.453,950604316.7,106439.485
ORL09124_2A_1,ORL09124R,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,2000,88966487,458113028,1499967463,460200050.7,42830.533,588456763.4,37179.878
ORL07555_2D_1,ORL07555R,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,2000,118560428,492099268,1866875339,687428894.7,55434.01,821554987,47539.755
ORL08555_2B_1,ORL08555R,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,2000,148668857,594291426,2435080010,945988771.8,85569.268,1021752918,65338.431
ORL08555_2A_1,ORL08555R,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,2000,105389823,452913589,1525518851,584953856,46680.364,709828501.5,38253.363
ORL08555_2C_1,ORL08555R,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,2000,139234536,611623238,2338163168,861656727.6,81263.426,960259244,62181.39
ORL09810_2A_1,ORL09810R,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,2000,275944192,1175120828,3979745999,1636140098,155600.843,1828300399,109440.305
ORL09810_2B_1,ORL09810R,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,2000,200241213,902772493,3694087148,1253337432,126218.319,1370875060,101676.845
ORL09810_2C_1,ORL09810R,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,2000,80623389,310076861,1157977857,446770200.6,31141.573,533542936.6,25702.789
ORL00147_9A_1,ORL00147,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n75-15MHz,1125,183414348,1177635458,6688480673,799970345,77584.327,1031618175,67208.297
ORL00147_9C_1,ORL00147,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n75-15MHz,1125,162488727,1608050887,8335354048,813468459,79093.182,997757001.7,64455.63
ORL00147_9B_1,ORL00147,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n75-15MHz,1125,238851637,788533337,8277865734,1282858066,101929.856,1527000957,88442.798
ORL09791_8A_1,ORL09791R,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n25-5MHz,2425,70897105,386383619,1305387728,427415470.1,72450.676,523654078.5,77135.255
ORL09791_8B_1,ORL09791R,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n25-5MHz,2425,256141788,1377850769,4927069999,1765663597,586047.88,1908154769,558730.783
ORL09791_8C_1,ORL09791R,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n25-5MHz,2425,127693431,666802917,2418212655,785042538.5,157562.508,945619025.9,166196.948
ORL00975_7B_1,ORL00975,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,5780,115844801,1916935495,3849136280,739516031,144133.179,841652265,127865.207
ORL00055_9B_1,ORL00055,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n75-15MHz,1125,123489191,673811143,3763999749,642788778,46607.211,775068803.1,34705.54
ORL00055_9C_1,ORL00055,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n75-15MHz,1125,453181035,2920094817,10433041691,2607527199,266930.83,2882580455,193854.35
ORL00055_3B_1,ORL00055,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,9820,93116222,310145825,1555115519,443639980,26423.316,536256307.2,19388.475
ORL00055_3A_1,ORL00055,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,9820,84957491,263593763,4172609169,450151940.1,28786.812,512688701.4,19917.206
ORL00055_9A_1,ORL00055,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n75-15MHz,1125,323360307,1604727961,12983335370,1744727294,163103.033,2016071393,116626.967
ORL00055_3C_1,ORL00055,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,9820,85184210,217038977,2484359186,408063025.2,22665.331,465946435.6,15736.291
ORL00975_9A_1,ORL00975,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n75-15MHz,1125,453672854,5319101105,7321894044,2661574640,237469.608,2917521646,166627.171
ORL00975_7A_1,ORL00975,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,5780,184947288,2456732549,5086864671,1183631237,209889.213,1340805554,193528.96
ORL00975_9C_1,ORL00975,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n75-15MHz,1125,313017958,5227242344,7413988886,1898384843,247999.93,2053761139,192712.851
ORL00975_7C_1,ORL00975,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,5780,152570088,4662168310,3848595978,1013203558,433736.71,1117400572,407277.033
ORL09608_2A_1,ORL09608R,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,2000,154406459,526006246,1852549220,838951665.7,61652.035,976249823.2,42627.33
ORL09608_2B_1,ORL09608R,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,2000,34886260,167529335,493531993,159725543.4,12800.228,219177730,11089.746
