ENODEB_CELLNAME,ENODEB,DATA_DATE,MARKET_CLUSTER,VERSION,REGION,MARKET,DL_CH_BANDWIDTH,EARFCN_DL,DRBPDCPSDUKBYTESDL_NONGBR,DLPRBUSEDWITHDSPUC_FDUSERS,DLPRBUSEDWITHDSPUC_FSUSERS,EUCELL_DL_TPUT_NUM_KBITS,EUCELL_DL_TPUT_DEN_SECS,EUCELL_DL_DRB_TPUT_NUM_KBITS,EUCELL_DL_DRB_TPUT_DEN_SECS
SBY00194_7C_1,SBY00194,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,538858633,8716238148,8561586718,3699793715,2406595.665,3875313271,1060958.713
SBY00194_7A_1,SBY00194,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,699224132,13807480564,4286311478,4734646190,1493066.449,4988313885,1342227.524
SBY00616_7A_1,SBY00616,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,44001982,629087915,2423240921,221011419.1,30982.017,299916845.1,33709.85
SBY00616_7B_1,SBY00616,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,101598753,650418482,2470649939,468443742.2,65600.473,691143950.3,58760.928
SBY00054_7A_1,SBY00054,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,473198186,7664018509,7819448643,3062998557,872944.373,3354278552,781306.018
SBY00054_7C_1,SBY00054,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,241814767,849693661,4577470922,648392242.4,80853.999,832473017.3,78416.315
SBY00054_7B_1,SBY00054,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,31473696,175378334,2914971965,140919332.9,24967.885,197728075.8,24001.023
SBY00372_7C_1,SBY00372,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,85428726,735682176,3644193242,531794890.2,63872.723,603466809.3,58087.97
SBY00372_7A_1,SBY00372,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,247726542,1831928942,3364778092,716345917.4,242985.007,896437567.5,116928.814
SBY00372_7B_1,SBY00372,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,255331617,2621548746,6657440527,1431565058,230946.628,1824024500,275066.561
SBY00762_7C_1,SBY00762,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,178247825,1501065755,5566594248,982531579.9,162549.149,2459036484,159316.278
SBY00762_7B_1,SBY00762,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,318068644,3866323162,9246186290,1696677011,426605.046,2232328634,445555.948
SBY00762_7A_1,SBY00762,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,170060595,3937290272,4255813737,663293534.2,176377.211,1195848532,241887.856
