ENODEB_CELLNAME,ENODEB,DATA_DATE,MARKET_CLUSTER,VERSION,REGION,MARKET,DL_CH_BANDWIDTH,EARFCN_DL,DRBPDCPSDUKBYTESDL_NONGBR,DLPRBUSEDWITHDSPUC_FDUSERS,DLPRBUSEDWITHDSPUC_FSUSERS,EUCELL_DL_TPUT_NUM_KBITS,EUCELL_DL_TPUT_DEN_SECS,EUCELL_DL_DRB_TPUT_NUM_KBITS,EUCELL_DL_DRB_TPUT_DEN_SECS
NYL02362_7B_1,NYL02362,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,156759277,4232482919,6420726014,1053176603,320767.496,1151774343,307851.308
NYL02398_7A_1,NYL02398,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,200860071,1763430194,6010665119,918868213.8,135270.596,1327078703,137738.062
NYL02403_7B_1,NYL02403,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,136624122,1762280077,4988035409,669416947.7,89757.332,887803207.7,95748.52
NYL02425_7C_1,NYL02425,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,135066340,1868940650,4075014396,709550432.3,108684.152,962633056.3,118475
NYL02429_7A_1,NYL02429,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,219333604,3383280932,7530254846,1156467925,220125.522,1534237147,236784.843
NYL02430_7B_1,NYL02430,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,81270388,1297307588,2965833671,437716467.7,127683.5,582534398,123569.574
NYL02438_7B_1,NYL02438,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,37278045,1201374503,1475615442,201077473.3,37213.632,274313936.9,45081.229
NYL02444_7B_1,NYL02444,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,116116021,4320196709,3951772601,505432473.6,139096.667,835195011.1,737724.422
NYL01019_9B_1,NYL01019,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,650,185797927,1046888115,8485259454,1068376728,123364.21,1297086996,111876.186
NYL01019_9A_1,NYL01019,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,650,184893302,922237108,8626515305,1038739866,105772.248,1272734867,92505.235
